,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
Career,,,,,1354.0,12.0,1.0,,1983-09-23,,63.7,,,,,,,,,,,,,,,4,0.0,0.0,0.0,,89.0,40.0,6-4,,,,,,0.0,20.0,1.0,,,,,20.0,,,,36,,Daniel Fells,,,,,,,,,,FellDa00,,,,,,,,12,1334,15.0,11.7,114,1.3,,,,,,,12,,,0.0,,Career,6.0,,,,179,,,,114,,,260,1334,,,,,20.0,,,11.7,0.0,
Career,,,,,1181.0,10.0,,,1986-04-22,,70.8,,,,,,,,,,,,,,,0,,,,,86.0,62.0,6-7,,,,,,0.0,10.0,1.0,,,,,10.0,,,,49,,Darren Fells,,,,,,,,,,FellDa01,,,,,,,,17,1171,13.6,11.5,102,1.2,,,,,,,17,,,,,Career,,,,,144,,,,102,,,270,1171,,,,,10.0,,,11.5,,
Career,,,,,755.0,3.0,1.0,,1986-07-03,,68.5,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,132.0,50.0,6-0,,,,,,0.0,156.0,12.0,,,,,37.0,,,,27,21,Jerome Felton,,,,,,,,,,FeltJe00,,,,,,,,0,421,3.2,8.4,50,0.4,55,0.4,0,178,3.2,1.3,0,,,0.0,,Career,7.0,,,,73,,,,105,,,246,599,,,,,13.0,,,5.7,0.0,
Career,,,,,,1.0,2.0,,1990-07-06,,,,,,,,,,,,,,,,,,,,,,11.0,,6-1,,,,,,,,,,,,,,,,,,,Chandler Fenner,,,,,,,,,,FennCh00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,5.0,,,,,,,,,,,189,,,,,,,,,,,
Career,,,,,,69.0,,,1983-12-10,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,160.0,160.0,6-6,,,,,,,,,,,,,,,,,,,D'Brickashaw Ferguson,,,,,,,,,,FergDB20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,310,,,,,,,,,,0.0,
Career,,,,,,2.0,14,,1991-09-22,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Ego Ferguson,,,,3.0,,,,,,FergEg00,,,,,,,,,,,,,,,,,,,,,,,2.0,,Career,13,,,,,,,,,,,315,,,,,,,,,,,0.0
Career,,,,,1.0,63.0,153,,1974-11-28,,,,,,,,,,,,,,,,,0.0,6.0,2.0,0.0,,159.0,127.0,6-3,,,0.0,0.0,,0.0,1.0,1.0,,,,0.0,1.0,,,,,,Jason Ferguson,,,,9.0,,,,,,FergJa21,,,,,,,,,,,,,,,,,,,,,,,21.5,,Career,350,,,,,,,,,,,310,,,,,,1.0,,,,0.0,0.0
Career,,,,,352.0,1.0,1.0,,1993-05-23,,76.7,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,28.0,,5-10,,,,,,0.0,166.0,9.0,,,,,24.0,,,0.0,14,11,Josh Ferguson,,,,,,,,,,FergJo02,,0.0,0.0,1.0,,,,0,152,5.4,6.6,23,0.8,19,0.7,0,34,1.8,1.2,0,,,0.0,,Career,4.0,,,,30,,,,42,,,205,186,,,,,18.4,,0.0,4.4,0.0,
Career,,,,,,27.0,91,,1974-11-27,,,,,,,,,,,,,,,,,0.0,6.0,6.0,0.0,,132.0,55.0,5-11,,,7.0,0.0,,,,,,,,30.0,,,,,,,Nick Ferguson,,,,25.0,,,,,,FergNi20,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,329,,,,,,,,,,,201,,,,,,,,,,0.0,79.0
Career,,,,,,4.0,2.0,,1994-03-24,,,,,,,,,,,,,,,,,,,,,,48.0,,6-2,,,,,,,,,,,,,,,,,,,Reid Ferguson,,,,,,,,,,FergRe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,2.0,,,,,,,,,,,235,,,,,,,,,,,
Career,,,,,2978.0,20.0,4.0,,1979-12-17,,50.8,,,,,,,,,,,,,,,1,0.0,3.0,16.0,,83.0,34.0,6-1,,,,,,0.0,973.0,43.0,,,,,71.0,,,4.0,71,0.0,Robert Ferguson,,,,,,,,,,FergRo00,,0.0,4.0,1.0,,,,13,1993,24.0,13.2,151,1.8,1.0,0.0,0.0,-8.0,-8.0,-0.1,13,,,0.0,,Career,31.0,,,,297.0,,,,152,,,210,1985,,,,,22.6,,4.0,13.1,16.0,
Career,,,,,,1.0,2.0,,1986-08-22,,50.0,,,,,,,,,,,,,,,0,,,,,51.0,24.0,6-0,,,,,,,,,,,,,,,,,30,11.0,Tony Fiammetta,,,,,,,,,,FiamTo00,,,,,,,,0,130,2.5,10.8,12,0.2,11.0,0.2,0.0,26.0,2.4,0.5,0,,,0.0,,Career,4.0,,,,24.0,,,,23,,,246,156,,,,,,,,6.8,,
Career,,,,,,1.0,1.0,,1992-12-14,,,,,,90.2,41,37,66.7,33,22,6.0,3.0,,12.0,7.0,,,,,,19.0,,6-1,,,,,,,,,,,54,,,,,,,,Sam Ficken,,,,,,,,,,FickSa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1.0,,10,8.0,,,,,,5,4.0,192,,,,,,,,,,,
Career,,,,,,6.0,,,1991-10-22,,62.7,,,,,,,,,,,,,,,2,,,,,51.0,42.0,6-5,,,,,,,,,,,,,,,,,26,,C.J. Fiedorowicz,,,,,,,,,,FiedC.00,,,,,,,,6,881,17.3,9.9,89,1.7,,,,,,,6,,,,,Career,,,,,142,,,,89,,,265,881,,,,,,,,9.9,,
Career,,0.0,0.0,,,24.0,1.0,1.0,1984-05-21,3,,0.0,,,,,,,,,,,,,,2.0,0.0,2.0,-17.0,,130.0,,6-5,0.0,,,,0.0,,,,,,,,,0.0,74,,,0.0,Brandon Fields,,0.0,,,0.0,0.0,0.0,0.0,0.0,FielBr20,,,,,603,,39.6,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,Career,13.0,,,,,0.0,28143,,3.0,,,249,0.0,0.0,,,0.0,,46.7,,0.0,-17.0,
Career,,,,,,0.0,1.0,,1990-10-03,,,,,,,,,,,,,,,,,,,,,,6.0,,6-1,,,,,,,,,,,,,,,,,,,Carlos Fields,,,,,,,,,,FielCa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,3.0,,,,,,,,,,,238,,,,,,,,,,,
Career,,,,,,13.0,52,,1981-09-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,87.0,25.0,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Ronald Fields,,,,1.0,,,,,,FielRo20,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,102,,,,,,,,,,,314,,,,,,,,,,0.0,0.0
Career,,,,,2392,2.0,0.0,,1983-01-10,,41.7,,,,,,,,,,,,,,,8,0.0,3.0,0.0,,34.0,,6-0,,,,,,1.0,1956.0,85.0,,,,,94.0,,,75.0,43,0.0,Yamon Figurs,,,,,,,,,,FiguYa00,,1.0,340.0,42.0,,,,1,103,3.0,20.6,5,0.1,3.0,0.1,0.0,-7.0,-2.3,-0.2,1,,,0.0,,Career,4.0,,,,12,,,,8,,,174,96,,,,,23.0,,8.1,12.0,0.0,
Career,,,,,,1.0,2,,1989-12-06,,,,,,,,,,,,,,,,,,,,,,8.0,,6-2,,,,,,,,,,,,,,,,,,,Bojay Filimoeatu,,,,,,,,,,FiliBo00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,6,,,,,,,,,,,250,,,,,,,,,,,
Career,,,,,,3.0,8,,1983-08-15,,,,,,,,,,,,,,,,,,,,,,38.0,,6-1,,,,,,,,,,,,,,,,,,,Alfred Fincher,,,,,,,,,,FincAl20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,18,,,,,,,,,,,238,,,,,,,,,,,
Career,,,,,,4.0,10,,1995-10-01,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,23.0,3.0,6-4,,,,,,,,,,,,,,,,,,,Sharif Finch,,,,,,,,,,FincSh00,,,,,,,,,,,,,,,,,,,,,,,3.5,,Career,30,,,,,,,,,,,250,,,,,,,,,,0.0,
Career,,,,,,2.0,3.0,,1983-08-24,,63.3,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,18.0,11.0,6-2,,,,,,,,,,,,,,,,,20,,Derek Fine,,,,,,,,,,FineDe00,,,,,,,,1,158,8.8,8.3,19,1.1,,,,,,,1,,,0.0,,Career,0.0,,,,30,,,,19,,,250,158,,,,,,,,8.3,0.0,
Career,,,,,,29.0,0.0,,1987-03-26,,69.0,,,,,,,,,,,,,,,2,0.0,1.0,2.0,,70.0,48.0,6-4,,,,,,,,,,,,,,,,,62,,Jermichael Finley,,,,,,,,,,FinlJe00,,,,,,,,20,2785,39.8,12.5,223,3.2,,,,,,,20,,,0.0,,Career,4.0,,,,323,,,,223,,,240,2785,,,,,,,,12.5,2.0,
Career,,,,,,9.0,,,1991-10-26,,,,,,,,,,,,,,,,,1.0,0.0,1.0,-8.0,,59.0,13.0,6-4,,,,,,,,,,,,,,,,,,,B.J. Finney,,,,,,,,,,FinnB.01,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,318,,,,,,,,,,-8.0,
Career,,,,,3149.0,32.0,3.0,,1976-01-31,,57.6,,,,,,,,,,,,,,,4,2.0,1.0,0.0,,129.0,38.0,6-5,,,0.0,0.0,,0.0,47.0,5.0,,,,0.0,18.0,,,5.0,53,,Brian Finneran,,,,2.0,,,,,,FinnBr00,,0.0,9.0,5.0,,,,19,3093,24.0,13.0,238,1.8,,,,,,,19,,,0.0,,Career,27.0,,,,413,,,,238,,,210,3093,,,,,9.4,,1.8,13.0,0.0,0.0
Career,,,,,593.0,59.0,121,,1984-02-02,,,,,,,,,,,,,,,,,1.0,5.0,5.0,142.0,,133.0,111.0,5-10,,,18,4,,,,,,,,99,,,,11.0,,,Cortland Finnegan,,,,87,,,,,,FinnCo20,,0.0,25.0,6.0,,,,,,,,,,,,,,,,,,,7.0,,Career,541,,,,,,,,,,,190,,,,,,,,4.2,,142.0,426
Career,,,,,,4.0,0.0,,1995-02-19,,75.0,,,,,,,,,,,,,,,0,,,,,27.0,1.0,6-2,,,,,,,,,,,,,,,,,39,,Anthony Firkser,,,,,,,,,,FirkAn00,,,,,,,,2,429,15.9,13.0,33,1.2,,,,,,,2,,,0.0,,Career,1.0,,,,44,,,,33,,,246,429,,,,,,,,13.0,,
Career,,,,,,58.0,,,1991-01-05,,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.0,,102.0,98.0,6-7,,,,,,,,,,,,,,,,,,,Eric Fisher,,,,,,,,,,FishEr00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,315,,,,,,,,,,0.0,
Career,,,,,,6.0,,,1993-04-23,,33.3,,,,,,,,,,,,,,,1,,,,,48.0,12.0,6-6,,,,,,,,,,,,,,,,,31,,Jake Fisher,,,,,,,,,,FishJa00,,,,,,,,0,43,0.9,21.5,2,0.0,,,,,,,0,,,,,Career,,,,,6,,,,2,,,282,43,,,,,,,,21.5,,
Career,,,,,,28.0,42,,1979-09-12,,,,,,,,,,,,,,,,,0.0,2.0,3.0,0.0,,90.0,74.0,5-10,,,9.0,2.0,,,,,,,,74.0,,,,,,,Travis Fisher,,,,39.0,,,,,,FishTr20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,301,,,,,,,,,,,194,,,,,,,,,,0.0,260.0
Career,,,,,790.0,7.0,5,,1980-10-10,,60.3,,,,,,,,,,,,,,,1,1.0,1.0,0.0,,99.0,24.0,6-4,,,,,,1.0,113.0,7.0,,,,,41.0,,,,27,,Casey Fitzsimmons,,,,,,,,,,FitzCa00,,,,,,,,5,677,6.8,7.7,88,0.9,,,,,,,5,,,0.0,1.0,Career,44,,,,146,,,,88,,,258,677,,,,,16.1,,,7.7,0.0,
Career,,13.2,18.3,,,133.0,,4.0,1983-08-31,,60.9,2.0,,,,,,,,,,,,,,13,0.0,2.0,0.0,,250.0,248.0,6-3,0.0,,,,0.0,,,,,,,,,32.0,,,80,15.0,Larry Fitzgerald,,9.2,,,50.0,25.0,1.0,53.0,13.3,FitzLa00,,,,,,,135.4,120,17083,68.3,12.4,1378,5.5,20.0,0.1,0.0,68.0,3.4,0.3,120,,,0.0,,Career,,,,,2263,1.0,,,1398,,,218,17151,7.0,,26.5,0.2,,,,12.3,0.0,
Career,,,,,,23.0,54,,1996-11-04,,,,,,,,,,,,,,,,,0.0,2.0,3.0,79.0,,32.0,27.0,6-1,,,7.0,2.0,,,,,,,,96.0,,,,,,,Minkah Fitzpatrick,,,,18.0,,,,,,FitzMi00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,94,,,,,,,,,,,207,,,,,,,,,,79.0,194.0
Career,,5.59,6.2,,,96.0,,4787,1982-11-24,,100.0,2886,,,,,,,,,,,12.0,,,81.0,0.0,39.0,-67.0,17.0,156.0,139.0,6-2,3.4,,,,161,,,,,,,,,98,,,0.0,31.0,Ryan Fitzpatrick,,6.19,,,60.3,4.4,210,32886,6.9,FitzRy00,,,,,,55-83-1,81.6,0.0,-3.0,0.0,-1.5,2.0,0.0,544.0,3.5,19.0,2470.0,4.5,15.8,19.0,,,0.0,,Career,,,,,2.0,285,,,546.0,,,228,2467.0,1509,,11.4,210.8,,,,4.5,-67.0,
Career,,5.65,6.4,,,118.0,,5932,1985-01-16,,100.0,3670,,,,,,,,,,,18.0,,,89,0,28,-86,24.0,171.0,171.0,6-6,2.4,,,,141,,,,,,,,,95,,,43.0,38,Joe Flacco,,5.96,,,61.9,3.7,218,40067,6.8,FlacJo00,,,,,,98-73-0,84.1,0.0,35.0,0.2,17.5,2.0,0.0,357,2.1,16,831,2.3,4.9,16,,,0.0,,Career,,,,,2.0,359,,,359,,,245,866,2554,,10.9,234.3,,,,2.4,-86,
Career,,,,,,0.0,,,1995-03-26,,100.0,,,,,,,,,,,,,,,0,,,,,3.0,1.0,6-6,,,,,,,,,,,,,,,,,14,,Matt Flanagan,,,,,,,,,,FlanMa00,,,,,,,,0,14,4.7,14.0,1,0.3,,,,,,,0,,,,,Career,,,,,1,,,,1,,,260,14,,,,,,,,14.0,,
Career,,,,,,28.0,,,1988-09-20,,60.4,,,,,,,,,,,,,,,3,0.0,2.0,0.0,,87.0,53.0,6-6,,,1.0,0.0,,,,,,,,2.0,,,,,73,2.0,Coby Fleener,,,,1.0,,,,,,FleeCo00,,,,,,,,22,3080,35.4,12.1,255,2.9,1.0,0.0,1.0,2.0,2.0,0.0,23,,,0.0,,Career,,,,,422,,,,256,,,251,3082,,,,,,,,12.0,0.0,2.0
Career,,,,,,1.0,7.0,,1989-07-19,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,11.0,,6-2,,,,,,,,,,,,,,,,,,,Darius Fleming,,,,,,,,,,FlemDa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,3.0,,,,,,,,,,,245,,,,,,,,,,0.0,
Career,,,,,,5.0,7.0,,1989-05-05,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,46.0,7.0,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jamell Fleming,,,,9.0,,,,,,FlemJa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,63.0,,,,,,,,,,,206,,,,,,,,,,0.0,0.0
Career,,,,,,26.0,33,,1986-06-25,,,,,,,,,,,,,,,,,0.0,4.0,4.0,41.0,,73.0,54.0,6-0,,,8.0,1.0,,,,,,,,34.0,,,,,,,Bradley Fletcher,,,,58.0,,,,,,FletBr99,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,258,,,,,,,,,,,196,,,,,,,,,,41.0,107.0
Career,,,,,1.0,11.0,42.0,,1986-09-14,,,,,,,,,,,,,,,,,0.0,2.0,2.0,1.0,,54.0,10.0,6-2,,,1.0,0.0,,0.0,0.0,1.0,,,,0.0,0.0,,,,,,Dane Fletcher,,,,3.0,,,,,,FletDa00,,,,,,,,,,,,,,,,,,,,,,,4.5,,Career,78.0,,,,,,,,,,,244,,,,,,0.0,,,,1.0,0.0
Career,,,,,181.0,11.0,23,,1979-08-28,,,,,,,,,,,,,,,,,1.0,1.0,3.0,10.0,,105.0,12.0,5-9,,,7.0,1.0,,0.0,0.0,1.0,,,,88.0,0.0,,,,,,Jamar Fletcher,,,,34.0,,,,,,FletJa20,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,170,,,,,,,,,,,187,,,,,,0.0,,,,10.0,171.0
Career,,,,,399.0,145.0,655,,1975-05-19,,,,,,,,,,,,,,,,,1.0,19.0,12.0,43.0,,256.0,240.0,5-10,,,23.0,2.0,,0.0,188.0,12.0,,,,27.0,23.0,,,,,,London Fletcher,,,,96.0,,,,,,FletLo20,,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,Career,1384,,,,,,,,,,,242,,,,,,15.7,,,,43.0,168.0
Career,,,,,396.0,47.0,72,,1980-12-19,,,,,,,,,,,,,,,,,3.0,2.0,6.0,70.0,,157.0,104.0,6-0,,,20,3,,0.0,47.0,4.0,,,,40,24.0,,,6.0,,,Drayton Florence,,,,104,,,,,,FlorDr20,,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,Career,416,,,,,,,,,,,200,,,,,,11.8,,2.0,,70.0,273
Career,,,,,,46.0,60,,1986-02-18,,,,,,,,,,,,,,,,,1.0,4.0,5.0,101.0,,119.0,117.0,5-10,,,21,4,,,,,,,,91,,,,,,,Brandon Flowers,,,,109,,,,,,FlowBr99,,,,,,,,,,,,,,,,,,,,,,,3.0,,Career,426,,,,,,,,,,,190,,,,,,,,,,101.0,421
Career,,,,,,31.0,,,1994-04-25,,100.0,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,75.0,71.0,6-6,,,,,,,,,,,,,,,,,0.0,,Ereck Flowers,,,,,,,,,,FlowEr00,,,,,,,,0.0,-11.0,-0.1,-11.0,1.0,0.0,,,,,,,0.0,,,0.0,,Career,,,,,1.0,,,,1.0,,,330,-11.0,,,,,,,,-11.0,0.0,
Career,,,,,,6.0,12,,1992-02-16,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,53.0,3.0,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Marquis Flowers,,,,2.0,,,,,,FlowMa00,,,,,,,,,,,,,,,,,,,,,,,3.5,,Career,38,,,,,,,,,,,245,,,,,,,,,,0.0,0.0
Career,,,,,,32.0,82.0,,1993-08-16,,,,,,,,,,,,,,,,,0.0,7.0,2.0,-3.0,,61.0,52.0,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Trey Flowers,,,,6.0,,,,,,FlowTr00,,,,,,,,,,,,,,,,,,,,,,,28.0,,Career,133.0,,,,,,,,,,,265,,,,,,,,,,-3.0,0.0
Career,,,,,,12.0,29,,1995-06-02,,,,,,,,,,,,,,,,,0,4,3,0,,30.0,30.0,6-3,,,3,0,,,,,,,,0,,,,,,,Tre Flowers,,,,14,,,,,,FlowTr01,,,,,,,,,,,,,,,,,,,,,,,2.0,,Career,120,,,,,,,,,,,203,,,,,,,,,,0,0
Career,,,,,,29.0,46,,1992-09-08,,,,,,,,,,,,,,,,,0.0,1.0,3.0,21.0,,54.0,54.0,6-5,,,1,1,,,,,,,,19,,,,,,,Leonard Floyd,,,,9,,,,,,FloyLe00,,,,,,,,,,,,,,,,,,,,,,,18.5,2.0,Career,108,,,,,,,,,,,240,,,,,,,,,,21.0,19
Career,,,,,,54.0,0.0,,1981-09-08,,56.3,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,121.0,77.0,6-5,,,,,,,,,,,,,,,,,70,,Malcom Floyd,,,,,,,,,,FloyMa00,,,,,,,,34,5550,45.9,17.3,321,2.7,,,,,,,34,,,0.0,,Career,5.0,,,,570,,,,321,,,225,5550,,,,,,,,17.3,0.0,
Career,,,,,,31.0,,,1989-11-27,,52.8,,,,,,,,,,,,,,,5,0.0,2.0,0.0,,102.0,51.0,6-3,,,,,,,,,,,,,,,,,91,2.0,Michael Floyd,,,,,,,,,,FloyMi00,,,,,,,,25,3959,38.8,14.9,266,2.6,1.0,0.0,0.0,2.0,2.0,0.0,25,,,0.0,,Career,,,,,504,,,,267,,,220,3961,,,,,,,,14.8,0.0,
Career,,,,,9.0,13.0,38.0,,1992-05-28,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,44.0,24.0,6-3,,,0.0,0.0,,0.0,9.0,2.0,,,,0.0,9.0,,,,,,Sharrif Floyd,,,,4.0,,,,,,FloySh00,,,,,,,,,,,,,,,,,,,,,,,9.5,,Career,57.0,,,,,,,,,,,297,,,,,,4.5,,,,0.0,0.0
Career,,,,,10.0,9.0,26,,1985-03-07,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,81.0,7.0,6-2,,,0.0,0.0,,0.0,10.0,2.0,,,,0.0,6.0,,,,,,Andre Fluellen,,,,1.0,,,,,,FlueAn99,,,,,,,,,,,,,,,,,,,,,,,4.5,,Career,43,,,,,,,,,,,285,,,,,,5.0,,,,0.0,0.0
Career,,,,,,0.0,5.0,,1992-01-29,,0.0,,,,,,,,,,,,,,,0,,,,,25.0,,5-11,,,,,,,,,,,,,,,,,0.0,13,David Fluellen,,,,,,,,,,FlueDa00,,,,,,,,0.0,0.0,0.0,,0.0,0.0,8,0.3,0,37,4.6,1.5,0,,,0.0,,Career,4.0,,,,1.0,,,,8,,,224,37,,,,,,,,4.6,,
Career,,,,,,43.0,,,1991-03-13,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,92.0,88.0,6-5,,,,,,,,,,,,,,,,,,,D.J. Fluker,,,,,,,,,,FlukDJ00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,342,,,,,,,,,,0.0,
Career,,5.5,6.7,,,8.0,,357,1985-06-20,,,219,,,,,,,,,,,4.0,,,11,0.0,1.0,-5.0,3.0,53.0,7.0,6-2,3.1,,,,11,,,,,,,,,80,,,,17,Matt Flynn,,5.89,,,61.3,4.8,17,2541,7.1,FlynMa00,,,,,,3-4-0,85.9,,,,,,,65,1.2,1,69,1.1,1.3,1,,,0.0,,Career,,,,,,39,,,65,,,228,69,209,,11.6,47.9,,,,1.1,-5.0,
Career,,,,,,22.0,56,,1985-08-28,,,,,,,,,,,,,,,,,0.0,4.0,3.0,0.0,,73.0,35.0,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Moise Fokou,,,,6.0,,,,,,FokoMo99,,,,,,,,,,,,,,,,,,,,,,,3.0,,Career,179,,,,,,,,,,,228,,,,,,,,,,0.0,0.0
Career,,6.18,6.9,,,32.0,,1698,1989-01-20,,100.0,1051,,,,,,,,,,,8.0,,,33,0.0,11.0,-40.0,10.0,58.0,48.0,6-6,2.1,,,,35,,,,,,,,,83,,,15.0,21,Nick Foles,,6.26,,,61.9,4.2,71,11901,7.0,FoleNi00,,,,,,26-22-0,88.2,0.0,10.0,0.2,10.0,1.0,0.0,129,2.2,5,390,3.0,6.7,5,,,0.0,,Career,,,,,1.0,97,,,130,,,243,400,661,,11.3,205.2,,,,3.1,-40.0,
Career,,,,,12,2.0,,,1990-01-30,,,,,,,,,,,,,,,,,,,,,,28.0,,6-4,,,,,,0.0,12.0,1.0,,,,,12.0,,,,,,Brian Folkerts,,,,,,,,,,FolkBr00,,,,,,,,,,,,,,,,,,,,,,,,,Career,,,,,,,,,,,,303,,,,,,12.0,,,,,
Career,,,,,,26.0,0.0,,1984-11-05,,,,,,98.9,358,354,80.4,322,259,42,25,,98,68,,,,,,161.0,,6-2,,,,,,,,,3.0,3.0,56,,,,,,,,Nick Folk,,,,,,,,,,FolkNi20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,4.0,,92,83,,,,,,87,80,211,,,,,,,,,,,
Career,,,,,12.0,2.0,13,,1987-07-03,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,17.0,2.0,6-2,,,0.0,0.0,,0.0,12.0,2.0,,,,0.0,10.0,,,,,,Zack Follett,,,,1.0,,,,,,FollZa99,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,18,,,,,,,,,,,231,,,,,,6.0,,,,0.0,0.0
Career,,,,,,0.0,0,,1984-08-19,,,,,,,,,,,,,,,,,,,,,,2.0,,6-3,,,,,,,,,,,,,,,,,,,J.D. Folsom,,,,,,,,,,FolsJ.99,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1,,,,,,,,,,,230,,,,,,,,,,,
Career,,,,,,77.0,266,,1980-06-12,,,,,,,,,,,,,,,,,0.0,10.0,9.0,27.0,,187.0,134.0,6-1,,,4.0,0.0,,,,,,,,14.0,,,,,,,Larry Foote,,,,27.0,,,,,,FootLa20,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,Career,552,,,,,,,,,,,239,,,,,,,,,,27.0,26.0
Career,,,,,,16.0,0.0,,1987-09-02,,,,,,93.8,195,183,86.8,151,131,19,12.0,,49,43,,,,,,81.0,,5-11,,,,,,,,,,,57.0,,,,,,,,Kai Forbath,,,,,,,,,,ForbKa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,4.0,,45,40,,,,,,38,36,197,,,,,,,,,,,
Career,,,,,420.0,3.0,,,1990-07-19,,66.7,,,,,,,,,,,,,,,0,,,,,20.0,5.0,6-6,,,,,,0.0,29.0,3.0,,,,,15.0,,,,37,,Chase Ford,,,,,,,,,,FordCh00,,,,,,,,1,391,19.6,11.5,34,1.7,,,,,,,1,,,,,Career,,,,,51.0,,,,34,,,245,391,,,,,9.7,,,11.5,,
